Word,Count
نقش,1
جهان,2
فلاورجان,1
آژانس,1
هواپیمایی,1
محدود,1
سهروردی,1
وسط,1
شاگرد,1
بچگانه,1
فلزی,1
اسپایک,1
پذیرایی,2
پژوهشگر,1
دانشجویی,1
لپ,2
ورونا,1
مترجم,1
کالای,1
چوب,1
سلطانی,1
php,1
تیز,1
دنیت,1
پدرام,1
بندر,3
بندرعباس,1
زمین,2
جنوبگان,3
املاک,3
روژانفر,1
دایانو,1
سازمان,2
بورس,1
اوراق,2
بهادار,2
ورزشی,1
کارتینگ,1
آزادی,1
معلم,1
دبستان,2
غیرانتفاعی,1
پروفیل,1
فولادی,1
برچسب,3
طوبی,3
مکفی,1
دانشگاه,1
علوم,1
اراک,2
گچ,1
فولاد,1
وصول,2
مطالبات,2
فن,2
آزمایشگاهی,1
سازمانی,2
ناریجه,1
برند,2
svi,1
کشتیرانی,1
ابریشم,1
مارین,1
ساختمانی,1
نشانه,1
کویر,1
آرشا,1
مجتمع,1
گلها,1
تشریفات,1
شعب,1
کارگزاری,3
مفید,1
پرش,1
هندسه,1
ماهرخ,1
کیان,2
سئوکار,1
خودرویی,1
هیوندا,1
کیا,1
دانا,1
بهره,1
وری,1
آرا,1
پوش,1
اسپادانا,1
دیبا,1
دنیم,1
اسلام,1
نظافتی,2
مدرس,10
زبانهای,1
خارجی,7
آموزشگاه,3
PLS,1
عربی,1
تک,1
وردپرس,2
پژوهشکده,3
آذر,1
ساتراپ,1
سهیل,1
رز,1
گلد,1
نگار,1
منابع,15
انسانی,16
موزع,1
وانت,1
مازندران,2
دیپلم,1
آروان,1
کتابفروشی,1
متخصص,2
تخصص,1
مغز,1
اعصاب,1
جامع,1
تخصصی,1
شاهین,1
دید,1
سهند,1
دارویی,1
داروخانه,1
میثاقی,1
زبانسرا,1
دات,1
آر,1
پاتکان,1
سپهر,1
الکتریک,1
گسترش,1
سانا,1
کیمیا,1
الکتروجوش,1
آناهیتا,1
تاسیسات,2
تشخیص,1
طبی,1
نامی,1
تزریق,1
آتلیه,1
عکاسی,1
نوزاد,1
فضای,2
مجازی,2
عمرانو,3
ظرفشوی,1
خواب,2
استان‌های,1
گلستان,1
پیشتازان,1
پاسارگاد,1
مهاجرتی,4
راشین,1
مونتاژ,1
بدلیجات,1
مپکو,1
مگنت,1
سینا,1
رادیولوژی,1
فک,1
آوران,1
صندوقدار,1
سنتی,1
سماواتیان,1
ساندویچی,1
غذا,1
سرام,1
آرای,1
فجر,1
زرین,1
سپیدار,2
پیشگامان,1
گستران,1
پیروز,1
مبدل,1
ژرف,1
اندیش,1
آبیک,1
کارافن,1
صندل,2
راهیان,2
آبی,3
کورل,1
سراجی,1
مشاوره,1
هیوا,1
موسیقی,1
فتوشاپ,1
بنیان,2
دورنمای,1
پذیرشگر,1
معاینه,1
آسمان,1
ساخت,1
تامکار,1
آموزگار,1
مدرسه,1
دامپزشک,1
ضدعفونی,1
کامیون,1
امام,1
خمینی,1
ره,1
زیست,1
رشد,1
فرنیا,1
آذین,1
اسنپ,1
گروپ,1
آشپز,1
کباب,1
پز,1
آشپزخانه,1
solid,1
works,1
قشونی,1
ترانس,1
تقویت,1
نارنج,1
Office,1
کوشا,1
پلاست,1
نیکان,1
سرو,1
سهی,1
فرداد,1
باران,1
درمانی,1
سرطان,1
معتمد,1
جهاد,1
دانشگاهی,1
فراز,1
Laravel,2
لاراول,2
کاران,1
توسعه‌دهنده,6
فول,2
استک,2
تستر,2
برنامه‌های,1
کاربردی,1
وب‌سرویس,1
عملکرد,1
منطقه‌ای,1
استقرار,1
نرم‌افزار,6
ERP,2
برنامه‌ریزی,3
CS,1
IMS,1
Core,3
تحلیلگر,5
محصول,6
توزیع,1
کالا,1
صادرات,1
دبیرخانه,1
کانالی,1
مویرگی,2
تحقیقات,3
بازار,6
معاونت,3
طرح,2
سهام,1
عمومی,2
دیجیتال,7
مارکتینگ,5
بیزینس,1
لاین,1
بک‌اِند,2
DevOps,4
اعتبارات,1
فرانت‌اِند,1
دستمزد,1
مجامع,1
شرکت‌ها,1
زنجیره,1
تامین,2
تضمین,3
بودجه,2
ترانزیت,1
FTTx,1
حرفه‌ای,1
هماهنگ‌کننده,3
بهینه‌سازی,1
انتقال,1
رادیویی,1
کابینت,1
کمد,1
سیستم‌ها,1
روش‌ها,1
حمل‌ونقل,1
بین‌المللی,1
اولیه,1
تیم,2
حسابرسی,2
اسناد,1
عملیات,1
لجستیک,1
لینوکس,1
هاستینگ,3
دورکاری,11
سرپرست منابع,1
نمایندگی‌ها,1
آنالیز,1
دستگاهی,1
میدانی,2
هورکا,1
VoIP,1
تماس,6
ساختمان,1
هوش,3
تجاری,4
گزارش‌های,1
شریک,1
فست,2
فود,2
اپلیکیشن‌های,1
موبایل,3
Junior,1
NET,4
Developer,12
PHP,8
Full,1
Stack,1
Senior,10
Back,9
Golang,2
ASP,2
پایگاه,1
Sql,1
Server,1
کهریزک,1
اندروید,1
Android,1
فارسی,1
کارآموز,2
بومهن,1
پژوهش,1
خلاقیت,1
مقطع,1
کتاب,1
معمار,1
اجرائی,1
Quality,1
Assurance,1
خبرنگار,2
شیفت,4
شب,4
end,1
Net,2
Node,2
js,2
iOS,1
رباط,1
کریم,1
صدور,1
نامه,1
C,3
قیمت,1
مشتریان,5
فیلمبردار,1
ReactJs,2
واردات,1
Asp,1
net,1
رزرواسیون,1
مانیتورینگ,3
Programme,1
Manager,7
هلو,1
شبکه‌های,2
Markup,1
Support,1
Engineer,3
VueJs,1
کلاس,1
آنلاین,1
چاپ,1
روابط,1
B2B,1
آموز,1
کال,1
سنتر,1
مدیریت,1
کاراموز,1
فرانسه,1
آلمانی,1
دوربین,1
مداربسته,1
کوردیناتور,1
خردسال,1
بزرگسال,1
اسکرام,1
مستر,1
Angular,2
Service,2
Desk,3
تدوین,1
استراتژی,1
NOC,3
حمل,2
زمینی,1
دریایی,1
جانبی,1
جاوا,1
Java,1
ناوگان,3
بابل,2
گرگان,1
Product,3
Owner,2
اسپلانک,1
SOC,1
IT,3
بازرس,1
Sales,1
SRE,1
تست,3
UI,1
کارشناش,1
امنیت,1
Help,1
NodeJS,1
NestJS,1
جاسک,1
ارزیابی,1
ارتقائ,1
HR,2
Administrator,2
Network,1
Security,1
کیش,1
مدیرعامل,1
دهنده,1
افزارهای,1
فرآیندی,1
معامله,1
Category,1
Social,1
Media,1
Account,1
پروژه‌های,1
پایدارسازی,1
گود,1
QA,1
JIRA,1
رگولاتوری,1
Human,1
Resources,1
Coordinator,1
کارسناس,1
مالک,1
Word,Count
شرایط,162
احراز,76
سن,26
سال,88
تحصیل‌کرده,1
پیگیر,12
منظم,49
مسئولیت,42
پذیر,34
تسلط,145
ورد,10
کامپیوتر,17
آشنا,73
حسابداری,51
پر,15
انرژی,14
انگیزه,22
دارای,99
ذهن,2
مثبت,4
نگر,2
روحیه,54
کار,272
تیمی,59
روابط,42
عمومی,36
برخورد,13
فن,18
بیان,19
مناسب,32
متعهد,18
موازین,1
شرعی,1
اخلاقی,1
سابقه,90
مزیت,24
محسوب,28
می‌گردد,2
شرکت,190
کلور,1
تکمیل,55
کادر,44
استان‌,11
خراسان,2
رضوی,2
شهر,18
مشهد,2
افراد,55
واجد,35
دعوت,43
همکاری,115
می‌نماید,17
کارمند,5
اداری,37
پلاستیران,1
استان,21
تهران,53
البرز,5
تکنسین,1
مکانیک,6
مدرک,28
کاردانی,7
کارشناسی,16
مهندسی,21
ترجیحا,16
برق,5
قابلیت,1
ماموریت,11
شهرستان,3
حضور,16
پروژه,31
خارج,10
ساعات,20
علاقمند,7
یادگیری,32
کارهای,5
فنی,42
دست,4
آچار,1
وضعیت,14
خدمت,12
پایان,11
معافیت,6
پزشکی,13
حقوق,91
قوی,16
مسلط,112
اکسل,15
تایپ,5
تولید,72
محتوا,22
آشنایی,142
وردپرس,7
المنتور,1
Green,2
Web,5
Holding,4
invites,2
the,6
following,2
qualified,2
people,2
to,10
complete,2
their,4
staff,1
in,10
MarkaziWe,1
are,6
looking,2
for,4
a,8
Technical,2
Team,2
Lead,3
Remote,2
The,2
mission,2
of,8
GreenWeb,2
Scholars,2
is,2
provide,2
reliable,2
intelligent,2
usable,2
transparent,2
cloud,2
services,3
at,2
fair,2
rate,2
safe,2
digital,2
transformation,2
our,4
customers,2
businesses,2
If,2
you,8
think,2
your,6
career,4
goals,4
line,2
with,4
organizational,2
and,8
eager,2
work,4
professional,2
team,2
just,2
send,2
us,2
CV,2
We,3
invite,2
an,2
ideal,2
environment,4
peace,2
mind,2
competitive,2
rights,2
amenities,2
motivational,2
programs,2
performance,3
appraisals,2
job,4
security,2
knowledge,2
growth,2
attractive,2
path,2
short,2
great,2
awaits,2
You,2
can,2
also,2
share,2
this,2
good,2
opportunity,2
capable,2
friends,2
be,2
effective,2
changing,2
course,2
lives,2
SQL,13
Query,1
نویسی,34
Stimulsoft,2
میشود,10
ساکن,15
سنی,10
سوابق,12
کاری,153
مرتبط,58
نیاز,99
هفته,13
ساعت,85
مفید,2
فیزیکی,1
دفاتر,4
مجموعه,17
غیرحضوری,1
آموزش,47
رایگان,5
برگزیدگان,1
اریکه,1
دانش,27
آریانا,1
پارس,3
مشاور,5
تلفنی,27
دورکار,1
لاین,4
کاشت,2
مو,3
ابرو,1
پویا,15
پرانرژی,15
علاقه,19
مند,10
توسعه,129
فردی,21
شغلی,53
شرکتهای,2
المللی,16
حوزه,41
نفت,1
گاز,1
پتروشیمی,2
امنیت,15
ارائه,139
بلندمدت,3
ساله,3
تحصیلی,22
مدیریت,136
مالی,84
بانکی,13
زبان,35
انگلیسی,29
بازرگانی,18
تولیدی,9
شاخه,1
خزانه,1
دستمزد,14
انبار,12
مالیاتی,14
تجربه,54
ثبت,53
اسناد,33
نحوه,10
بایگانی,12
مدارک,13
بررسی,78
تحلیل,69
موجودی,15
کالا,13
fifo,1
lifo,1
تداوم,1
تعقیب,2
پیگیری,69
جاری,7
اتوماتیک,1
سیستماتیک,2
توانایی,92
برنامه,92
اولویت,6
کارها,7
همراه,13
سرعت,12
کنترل,55
حفظ,25
نگهداری,22
مکاتبات,6
گزارشات,17
مربوطه,28
مفاصا,1
بیمه,98
تنظیم,26
لیست,12
ارسال,48
مالیات,19
دفاعیه,1
لایحه,1
عملیات,17
بستن,3
حساب,9
مقاطع,3
تهیه,121
صورت‏,1
گزارش‏,1
گزارش,51
کمک,27
تدوین,49
اظهارنامه,6
ارزش,16
افزوده,10
معاملات,9
فصلی,13
افزارهای,17
Word,8
Excel,6
فرمول,1
داشبورد,3
مدیریتی,11
دقیق,17
کلینیک,2
مدرن,2
لیزر,1
اصفهان,2
مدیر,40
فروش,172
پیج,5
اینستاگرام,15
محصولات,61
Photoshop,3
Edith,1
video,1
staf,1
Hormozgan,1
نقشه,6
کشی,2
خوانی,3
مدل,2
قطعات,11
الزامی,9
مهربان,1
کودکان,3
بازی,1
محور,2
کودک,6
لهجه,1
Native,5
or,1
like,2
MS,2
Doc,1
Powerpoint,1
فروشی,2
معتبر,13
نزدیکی,1
میدان,8
آهن,2
حسابدار,6
ESGTrade,1
فروشمدیر,1
داخلیمدیر,1
لجستیک,1
حمل,14
نقل,13
کارشناس,32
افزار,48
راهکاران,3
قانونی,12
غرب,3
شایگان,1
شبکه,59
اجتماعی,43
سعید,1
خادم,1
شهریار,1
باغستان,1
گروه,9
صنعتی,17
پارت,2
لاستیک,1
تولیدکننده,1
خودرو,3
شهرک,4
چناران,1
مهندس,5
مکانیکمهندس,1
الکترونیک,7
جوان,8
دیپلم,12
سرویس,21
ایاب,2
ذهاب,2
ارتباط,44
اداره,8
تجهیزات,25
دانشگاه,4
علوم,5
فرآیند,18
برقراری,20
پرسنل,17
صنایع,12
اطلاعات,57
سنجی,5
bom,1
شرق,4
فارغ,5
التحصیل,2
دانشگاه‌های,1
برتر,3
کشور,7
ارشد,10
متالوژی,1
مفاهیم,35
مواد,24
تضمین,3
کیفیت,36
مستندات,11
فاینال,1
بوک,2
روش‌های,20
ساخت,14
اصول,26
جداول,2
انطباق,19
تلرانس‌ها,1
بازرسی,5
آزمون‌های,2
غیرمخرب,1
اجرا,10
رنگ,3
آمیزی,1
استاندارد,8
عایق,1
انواع,11
پوشش,10
مهارت,29
توانمند,13
حل,41
مسئله,15
تصمیم,5
خلاقیت,11
نوآوری,1
اخلاق,5
وقت,30
شناس,6
منعطف,12
قبول,2
آ,2
آذربایجان,3
شرقی,3
منطقه,11
لوازم,4
خانگی,2
نور,1
راننده,3
نیسان,1
کورل,1
چاپ,3
صفحه,1
چینی,2
abobe,1
illustrator,1
چاب,1
آفست,1
ماشین,6
تمیز,6
ایراد,1
ایرانخودرو,1
اهوازی,1
دکل,2
اهواز,1
گچساران,1
درخشان,2
رزیتان,1
پردیس,2
سرپرست,7
تحقیق,28
توسعهکارشناس,1
توسعهمهندس,1
شیمی,7
مانا,1
مهر,3
شمس,2
پروشات,1
مرکزی,4
ICDL,4
لیسانس,6
مسائل,24
پشتیبانی,36
سیستم,33
دولتی,4
نوژن,1
گستر,2
گیل,1
گیلان,2
تلفنیمسئول,1
دفتر,7
پیاده,7
فرایندها,3
BPMN,1
اولیه,21
محاسبات,5
مصارف,1
تامین,52
زمانسنجی,1
MSP,1
سازمانی,28
محل,35
کارخانه,8
شورآباد,1
مجرب,3
موتور,3
تحصیلات,8
فتوبهمن,1
حسابدارکارگر,1
سم,1
افق,1
بهداشت,7
محیط,37
پانوآ,1
b2b,2
سامان,1
سپیدار,3
دارایی,3
مراجعات,2
حضوری,17
مشتاق,10
هشت,1
چرخشی,3
شیفت,17
صبح,46
عصر,12
فول,2
استراحت,2
ظاهری,3
آراسته,5
موجه,1
مذاکره,26
پارسیان,2
تکنولوژی,8
شیمیایی,1
بهینی,1
ری,1
انباردار,1
اتوکد,2
مدل‌سازی,3
معماری,26
رویت,2
Revit,2
شناخت,9
ضوابط,1
طراحی,81
فاز,3
جزئیات,5
نرم‌افزار,21
هماهنگی,30
مدل‌های,3
سازه,1
تاسیسات,5
برخوردها,1
Navisworks,1
مسئولیت‌پذیری,3
کارت,8
معاف,1
دائم,4
کیفری,1
امکان,34
شب,5
آرایشی,1
مراقبتی,1
پوستی,2
فعالیت,31
داروخانه,1
گالری,1
بازاریابی,62
فنون,7
تیم,77
مشتری,31
صنعت,15
لوله,1
اتصالات,1
پلی,1
اتیلن,1
سی,2
سازماندهی,8
دستیابی,18
اهداف,48
ماهانه,22
کانال,3
توجه,22
ظرفیت,8
موجود,9
اعتبارسنجی,1
مشتریان,116
فعلی,5
آتی,3
سرکشی,1
نمایندگی,4
مطالبات,3
CRM,8
شکایات,5
پاسخگویی,22
گواهینامه,1
رانندگی,2
پایه,7
نکات,3
سنگین,1
سبک,1
سلامت,7
غیرپزشکی,1
نجف,1
دانشجویان,6
سیکلت,1
مسئول,13
صبور,7
دریافت,29
رزومه,30
مطلع,2
مشخصات,7
مندی,1
کارجویان,1
نداشتن,2
بلامانع,5
اجرایی,13
زیبایی,3
مشابه,5
مداری,5
رهبری,12
آرایشگاه,1
جسمانی,2
مودب,1
تشریفات,2
پذیرایی,2
نظافت,3
تعیین,28
غذایی,2
OFFICE,1
پاسخ,11
سوالات,11
جنوب,1
پاکدشت,1
ورامین,1
قرچک,1
مراقبت,3
پوست,3
قدرت,8
اعتماد,7
نفس,3
صحبت,2
جمعیت,1
دوربین,2
صبوری,2
حد,7
مکالمه,3
تایم,2
موقع,26
تحصیل,1
خودداری,5
مهان,1
پلیمر,2
قم,3
کامپاند,1
پلیمری,1
پرگاس,1
طب,1
مازندران,2
شهرهای,1
ساری,1
چالوس,1
نماینده,5
علمی,1
کامندهای,1
لینوکس,4
اندازی,2
سرور,4
سرورهای,4
مباحث,4
رفع,19
خطا,1
ریکاوری,1
Network,3
شل,1
اسکریپتینگ,1
دیتابیس,7
Mysql,1
پیکربندی,1
Nginx,1
DNS,3
Python,1
مبانی,2
مجازی,16
عامل,4
LPIC1,1
دیجیتال,29
مارکتینگ,16
کامپیوتری,5
وب,23
کیفی,9
تعداد,4
نفر,8
جوشکاری,1
Co2,1
مونتاژ,1
آفیس,9
الزامیست,3
نظارت,80
دستگاه,3
خوان,1
شناسایی,44
جذب,23
معرفی,11
وسیله,1
نقلیه,1
خارجی,19
چگال,1
آب,3
آبیاری,1
زیست,2
فناوری,9
پیشرفته,4
منشی,2
رئیس,1
دارویی,2
بهای,3
بودجه,18
رایورز,1
افزارهایExcel,1
Access,1
گردشگری,2
اقامتی,1
گلستان,1
هرمزگان,1
یزد,1
عکاس,1
نیمه,3
حرفه,21
دکوراسیون,2
داخلی,28
متالورژی,1
آزمایشگاهی,1
پیمان,1
رسیدگی,14
تعمیرات,5
لیفترک,1
لیفتراک,1
تعمیر,2
گیربکس,1
هیدرولیک,1
محدودیت,4
انضباط,2
شنبه,64
چهارشنبه,49
کیلومتر,1
جاده,2
مخصوص,2
کرج,1
تابلوسازی,1
مدار,2
فرمان,1
مددکاری,2
بانوان,1
مناطق,5
آسیب,2
حاشیه,3
خرید,19
قرارداد,21
مراجعه,3
بازارها,1
بنگاه,1
جستجو,5
مزایده,1
مناقصه,1
نساجی,2
توابع,2
استعداد,5
دنیای,1
بازاریاب,2
ویزیتور,1
جمع‌,1
آوری,6
بدنی,1
قوطی,1
تبریز,1
مکانیککارشناس,1
کاربردیکارشناس,1
برقطراح,1
گرافیکاپراتور,1
قزوین,2
office,4
اینترنت,9
درک,18
جمعه,7
تعطیل,13
نیروی,10
شرکتی,5
نصب,9
سایت,21
گوشی,2
فروشگاه‌,1
اندروید,6
دفتری,4
نگارش,3
نامه,8
نگاری,2
ضامن,1
دولت,2
انضمام,1
سفته,1
خلیج,1
فارس,1
اطلاع,7
رسان,1
بوشهر,1
شبکهحسابدار,1
صفر,2
تجارت,18
ایرانیان,2
ورود,8
انبارگردانی,1
اینترنتی,5
روتین,1
دقت,13
برنامه‌های,36
کاربردی,8
پایگاه‌های,5
مایکروسافت,2
sql,3
تجزیه,32
مشکلات,27
راه‌حل,4
کد,16
نوشتن,8
طراحی‌شده,2
یاد,2
پردازش,9
شروع,7
جلسات,26
سفارش,8
کاربران,22
نهایی,7
پخش,3
محصول,61
غیره,28
مستقیم,12
آزمایشی,7
ماه,11
سفر,10
پاداش,34
مزایا,46
ثابت,19
پورسانت,15
ارزیابی,47
پذیری,7
تست,13
نفوذ,2
تنهایی,1
ارزیابی‌های,3
آسیب‌پذیری,1
متمرکز,2
دستی,2
آسیب‌پذیری‌های,2
شناسایی‌شده,1
قالب,5
Spara,1
OWASP,1
WSTG,1
دنبال,9
فرصت‌هایی,1
اسکریپت‌های,1
پیچیده‌تر,1
خودکارسازی,1
چک‌ها,1
ایجاد,55
ابزارهای,30
سفارشی,1
امنیتی,4
توضیح,2
راه‌حل‌های,8
اصلاحی,7
برجسته,2
آسیب‌پذیری‌ها,1
اشکالاتی,1
می‌یابیم,1
مخاطبان,4
اولویت‌بندی,3
گرافیکی,5
InDesign,1
ویدئو,1
Premiere,1
After,1
Effects,1
کلیپ‌های,1
موشن,2
گرافی,1
کاتالوگ,3
بروشور,3
لوگو,2
پست,9
شبکه‌های,11
استراتژی,20
هدایت,17
اپلیکیشن,7
Keepa,1
منظور,43
کمپین,12
اتوماسیون,5
بهینه,17
نرخ,4
تبدیل,12
ردیاب,1
شاخص,4
کلیدی,20
عملکرد,56
محاسبه,9
KPI,3
ROI,1
CAC,1
موثر,25
افزایش,18
ترافیک,4
صفحات,5
فرود,1
کاربری,4
اجرای,52
آزمون,4
A,1
B,1
موفقیت,7
شرح,38
شغل,26
تمرکز,4
طعم‌ها,2
عطرها,1
بازار,63
سیاست,4
رقبا,16
قیمت,21
آگاهی,2
عطرهای,1
گزارش‌های,57
بازدید,11
نمایشگاه‌ها,3
جلب,2
نظرات,1
تماس‌های,4
ایمیلی,1
لازم,32
وصول,3
نتیجه,9
سفارش‌ها,3
فرایند,7
مرحله,2
تحویل,15
روند,10
بازخورد,9
عوامل,3
کیمیاگران,1
بهزیست,1
نیازمند,5
وظایف,29
مسئولیت‌ها,8
واحد,30
می‌کند,10
؛,37
انتظار,6
فعالیت‌های,29
مربوط,61
جمله,18
نیازهای,29
عملکردی,4
مطابق,14
آخرین,4
فناوری‌ها,1
به‌روزرسانی,8
بومی‌سازی,1
اعمال,7
مشارکت,29
برنامه‌ریزی,47
اصلاح,5
بهبود,33
بهینه‌سازی,16
فرد,5
داده‌های,13
کافی,27
